Protocollo,Municipio,TipoPersona,Sesso,Tipolesione,Deceduto,CondizioneAtmosferica,NaturaIncidente,DataOraIncidente
4415831,Municipio XIII,Pedone,M,Deceduto sul posto,-1,Sereno,Investimento di pedone,08/06/2019 02:40:00
4421670,Municipio XIII,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo accidentale,12/06/2019 00:20:00
4430194,Municipio XIII,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,16/06/2019 17:30:00
4441402,Municipio XIII,Conducente,M,Deceduto durante prime cure,-1,Sereno,Scontro laterale fra veicoli in marcia,24/06/2019 08:20:00
4448669,Municipio IX,Conducente,M,Deceduto durante prime cure,-1,Sereno,Scontro frontale fra veicoli in marcia,27/06/2019 17:30:00
4454793,Municipio XIII,Conducente,M,Deceduto durante prime cure,-1,Sereno,Tamponamento,02/07/2019 13:55:00
4461861,Municipio VIII,Conducente,F,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,07/07/2019 06:30:00
4461887,Municipio IX,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro laterale fra veicoli in marcia,07/07/2019 06:00:00
4466096,Municipio XIV,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,09/07/2019 17:00:00
4467898,Municipio VIII,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro veicolo in sosta,10/07/2019 20:05:00
4468498,Municipio XIII,Pedone,F,Deceduto sul posto,-1,Sereno,Investimento di pedone,11/07/2019 10:40:00
4471042,Municipio II,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,12/07/2019 23:15:00
4479513,Municipio XIV,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,18/07/2019 16:05:00
4483476,Municipio XIII,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,21/07/2019 15:45:00
4487286,Municipio XIII,Conducente,M,Deceduto durante prime cure,-1,Sereno,Veicolo in marcia contro ostacolo fisso,24/07/2019 05:00:00
4490585,Municipio XIV,Conducente,M,Deceduto durante prime cure,-1,Sereno,Scontro frontale/laterale DX fra veicoli in marcia,26/07/2019 11:00:00
4496950,Municipio XIII,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro frontale/laterale SX fra veicoli in marcia,31/07/2019 11:30:00
4504823,Municipio IX,Pedone,F,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,06/08/2019 22:00:00
4515827,Municipio II,Pedone,M,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,19/08/2019 11:00:00
4517134,Municipio VII,Conducente,M,Deceduto durante trasporto,-1,Sereno,Scontro frontale/laterale DX fra veicoli in marcia,20/08/2019 17:40:00
4521169,Municipio XIII,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,24/08/2019 12:25:00
4527221,Municipio VIII,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,30/08/2019 09:20:00
4534975,Municipio I,Conducente,M,Deceduto sul posto,-1,Sereno,Tamponamento,05/09/2019 08:15:00
4540639,Municipio XIII,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro frontale/laterale DX fra veicoli in marcia,09/09/2019 08:40:00
4546767,Municipio XV,Pedone,F,Deceduto sul posto,-1,Sereno,Investimento di pedone,12/09/2019 18:45:00
4546922,Municipio XIII,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,12/09/2019 22:40:00
4547390,Municipio XIV,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro laterale fra veicoli in marcia,12/09/2019 18:15:00
4560859,Municipio VIII,Conducente,F,Deceduto sul posto,-1,Sereno,Fuoriuscita dalla sede stradale,21/09/2019 04:30:00
4574713,Municipio XV,Conducente,F,Deceduto durante prime cure,-1,Sereno,Tamponamento,29/09/2019 11:10:00
4574876,Municipio XIV,Pedone,F,Deceduto sul posto,-1,Sereno,Investimento di pedone,29/09/2019 11:10:00
4577326,Municipio VIII,Pedone,M,Deceduto sul posto,-1,Sereno,Investimento di pedone,30/09/2019 14:20:00
4581491,Municipio XV,Conducente,M,Deceduto sul posto,-1,Nuvoloso,Scontro laterale fra veicoli in marcia,02/10/2019 18:30:00
4585432,Municipio IV,Passeggero,M,Deceduto sul posto,-1,Sereno,Ribaltamento senza urto contro ostacolo fisso,05/10/2019 01:30:00
4595794,Municipio XIII,Pedone,F,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,10/10/2019 19:15:00
4599331,Municipio IX,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,13/10/2019 05:10:00
4599775,Municipio IV,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro frontale fra veicoli in marcia,13/10/2019 15:15:00
4599775,Municipio XV,Passeggero,F,Deceduto durante prime cure,-1,Sereno,Scontro frontale fra veicoli in marcia,13/10/2019 15:15:00
4625142,Municipio VII,Pedone,M,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,26/10/2019 15:00:00
4647603,Municipio VIII,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,10/11/2019 03:05:00
4651123,Municipio XIII,Conducente,M,Deceduto durante prime cure,-1,Nuvoloso,Scontro frontale fra veicoli in marcia,12/11/2019 08:30:00
4652464,Municipio II,Pedone,M,Deceduto sul posto,-1,Nuvoloso,Investimento di pedone,12/11/2019 23:25:00
4652927,Municipio XV,Conducente,M,Deceduto sul posto,-1,Nuvoloso,Scontro frontale/laterale SX fra veicoli in marcia,13/11/2019 07:05:00
4666217,Municipio III,Conducente,M,Deceduto sul posto,-1,Pioggia in atto,Veicolo in marcia contro ostacolo fisso,20/11/2019 01:37:00
4666217,Municipio XV,Passeggero,M,Deceduto sul posto,-1,Pioggia in atto,Veicolo in marcia contro ostacolo fisso,20/11/2019 01:37:00
4667955,Municipio XIII,Pedone,F,Deceduto sul posto,-1,Sereno,Investimento di pedone,21/11/2019 08:00:00
4680044,Municipio VII,Conducente,M,Deceduto durante trasporto,-1,Pioggia in atto,Veicolo in marcia contro ostacolo fisso,27/11/2019 17:00:00
4692406,Municipio XIII,Pedone,M,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,04/12/2019 19:15:00
4698323,Municipio VI,Pedone,M,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,08/12/2019 20:45:00
4699762,Municipio VIII,Pedone,M,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,09/12/2019 19:10:00
4700012,Municipio III,Conducente,F,Deceduto sul posto,-1,Sereno,Tamponamento,09/12/2019 22:15:00
4703171,Municipio XV,Pedone,M,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,11/12/2019 09:10:00
4703210,Municipio X,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,11/12/2019 05:00:00
4718159,Municipio XIII,Conducente,M,Deceduto sul posto,-1,Nuvoloso,Ribaltamento senza urto contro ostacolo fisso,20/12/2019 08:35:00
4720789,Municipio VII,Pedone,F,Deceduto sul posto,-1,Nuvoloso,Investimento di pedone,22/12/2019 00:27:00
4720944,Municipio II,Conducente,M,Deceduto durante prime cure,-1,Pioggia in atto,Scontro frontale fra veicoli in marcia,22/12/2019 04:30:00
4731246,Municipio II,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro frontale fra veicoli in marcia,31/12/2019 08:10:00
4749146,Municipio XIII,Conducente,M,Deceduto durante trasporto,-1,Nuvoloso,Veicolo in marcia contro ostacolo fisso,20/12/2019 18:30:00
4749154,Municipio XIII,Pedone,F,Deceduto sul posto,-1,Sereno,Investimento di pedone,23/12/2019 12:20:00
